repo_name,venture_id,sector,status,health_score
iza-os-ai-optimization-platform,,,,
iza-os-ai-orchestration,,,,
iza-os-ai-prediction-platform,,,,
iza-os-ai-vision-platform,,,,
iza-os-analytics,,,,
iza-os-api-gateway-bot,,,,
iza-os-automation,,,,
iza-os-automation-integration,,,,
iza-os-blockchain-core,,,,
iza-os-business,,,,
iza-os-cli,,,,
iza-os-computer-vision,,,,
iza-os-core,,,,
iza-os-cryptocurrency-management,,,,
iza-os-customer-core,,,,
iza-os-customer-service-automation-bot,,,,
iza-os-customer-service-chatbot-bot,,,,
iza-os-customer-service-email-bot,,,,
iza-os-customer-service-escalation-bot,,,,
iza-os-customer-service-faq-bot,,,,
iza-os-customer-service-knowledge-bot,,,,
iza-os-customer-service-phone-bot,,,,
iza-os-customer-service-social-bot,,,,
iza-os-customer-service-ticket-bot,,,,
iza-os-cybersecurity-monitoring-bot,,,,
iza-os-data,,,,
iza-os-data-integration-hub,,,,
iza-os-defi-platform,,,,
iza-os-deployment-automation-bot,,,,
iza-os-docs,,,,
iza-os-ecosystem,,,,
iza-os-embedding-service,,,,
iza-os-enterprise,,,,
iza-os-enterprise-integrations,,,,
iza-os-finance-advisor-alerting-bot,,,,
iza-os-finance-advisor-analytics-bot,,,,
iza-os-finance-advisor-automation-bot,,,,
iza-os-finance-advisor-compliance-bot,,,,
iza-os-finance-advisor-discovery-bot,,,,
iza-os-finance-advisor-forecasting-bot,,,,
iza-os-finance-advisor-integration-bot,,,,
iza-os-finance-advisor-intelligence-bot,,,,
iza-os-finance-advisor-management-bot,,,,
iza-os-finance-advisor-monitoring-bot,,,,
iza-os-finance-advisor-optimization-bot,,,,
iza-os-finance-advisor-orchestration-bot,,,,
iza-os-finance-advisor-processing-bot,,,,
iza-os-finance-advisor-reporting-bot,,,,
iza-os-finance-advisor-security-bot,,,,
iza-os-finance-advisor-synthesis-bot,,,,
iza-os-financial-core,,,,
iza-os-funding,,,,
iza-os-hr-analytics-bot,,,,
iza-os-hr-benefits-bot,,,,
iza-os-hr-compliance-bot,,,,
iza-os-hr-core,,,,
iza-os-hr-onboarding-bot,,,,
iza-os-hr-payroll-bot,,,,
iza-os-hr-performance-bot,,,,
iza-os-hr-recruitment-bot,,,,
iza-os-hr-training-bot,,,,
iza-os-inference-engine,,,,
iza-os-infra,,,,
iza-os-infrastructure,,,,
iza-os-infrastructure-monitoring-bot,,,,
iza-os-integrations,,,,
iza-os-intelligence-core,,,,
iza-os-inventory-management-analytics-bot,,,,
iza-os-inventory-management-automation-bot,,,,
iza-os-inventory-management-compliance-bot,,,,
iza-os-inventory-management-integration-bot,,,,
iza-os-inventory-management-monitoring-bot,,,,
iza-os-inventory-management-optimization-bot,,,,
iza-os-inventory-management-reporting-bot,,,,
iza-os-inventory-management-security-bot,,,,
iza-os-knowledge-graph,,,,
iza-os-legal-core,,,,
iza-os-legal-research-alerting-bot,,,,
iza-os-legal-research-compliance-bot,,,,
iza-os-legal-research-discovery-bot,,,,
iza-os-legal-research-integration-bot,,,,
iza-os-legal-research-intelligence-bot,,,,
iza-os-legal-research-management-bot,,,,
iza-os-legal-research-optimization-bot,,,,
iza-os-legal-research-orchestration-bot,,,,
iza-os-legal-research-processing-bot,,,,
iza-os-legal-research-reporting-bot,,,,
iza-os-legal-research-security-bot,,,,
iza-os-legal-research-synthesis-bot,,,,
iza-os-llm-adapter,,,,
iza-os-market,,,,
iza-os-marketing-automation-alerting-bot,,,,
iza-os-marketing-automation-analytics-bot,,,,
iza-os-marketing-automation-automation-bot,,,,
iza-os-marketing-automation-campaign-bot,,,,
iza-os-marketing-automation-compliance-bot,,,,
iza-os-marketing-automation-discovery-bot,,,,
iza-os-marketing-automation-integration-bot,,,,
iza-os-marketing-automation-intelligence-bot,,,,
iza-os-marketing-automation-management-bot,,,,
iza-os-marketing-automation-monitoring-bot,,,,
iza-os-marketing-automation-optimization-bot,,,,
iza-os-marketing-automation-orchestration-bot,,,,
iza-os-marketing-automation-processing-bot,,,,
iza-os-marketing-automation-reporting-bot,,,,
iza-os-marketing-automation-security-bot,,,,
iza-os-marketing-automation-synthesis-bot,,,,
iza-os-marketing-core,,,,
iza-os-mcp,,,,
iza-os-ml,,,,
iza-os-mobile,,,,
iza-os-model-training,,,,
iza-os-monitoring,,,,
iza-os-monitoring-integration,,,,
iza-os-nft-platform,,,,
iza-os-nlp-pipeline,,,,
iza-os-notification-bot,,,,
iza-os-operations-analytics-bot,,,,
iza-os-operations-automation-bot,,,,
iza-os-operations-compliance-bot,,,,
iza-os-operations-core,,,,
iza-os-operations-integration-bot,,,,
iza-os-operations-intelligence-bot,,,,
iza-os-operations-monitoring-bot,,,,
iza-os-operations-optimization-bot,,,,
iza-os-operations-reporting-bot,,,,
iza-os-operations-security-bot,,,,
iza-os-ops,,,,
iza-os-orchestrator,,,,
iza-os-platform-core,,,,
iza-os-playgrounds,,,,
iza-os-predictive-analytics-bot,,,,
iza-os-predictive-modeling,,,,
iza-os-project-management-alerting-bot,,,,
iza-os-project-management-analytics-bot,,,,
iza-os-project-management-automation-bot,,,,
iza-os-project-management-compliance-bot,,,,
iza-os-project-management-discovery-bot,,,,
iza-os-project-management-integration-bot,,,,
iza-os-project-management-intelligence-bot,,,,
iza-os-project-management-management-bot,,,,
iza-os-project-management-monitoring-bot,,,,
iza-os-project-management-optimization-bot,,,,
iza-os-project-management-orchestration-bot,,,,
iza-os-project-management-processing-bot,,,,
iza-os-project-management-reporting-bot,,,,
iza-os-project-management-security-bot,,,,
iza-os-project-management-synthesis-bot,,,,
iza-os-prompt-engineering,,,,
iza-os-quality-assurance-bot,,,,
iza-os-recommendation-engine,,,,
iza-os-revenue,,,,
iza-os-sales-automation-alerting-bot,,,,
iza-os-sales-automation-analytics-bot,,,,
iza-os-sales-automation-automation-bot,,,,
iza-os-sales-automation-compliance-bot,,,,
iza-os-sales-automation-discovery-bot,,,,
iza-os-sales-automation-integration-bot,,,,
iza-os-sales-automation-intelligence-bot,,,,
iza-os-sales-automation-management-bot,,,,
iza-os-sales-automation-monitoring-bot,,,,
iza-os-sales-automation-optimization-bot,,,,
iza-os-sales-automation-orchestration-bot,,,,
iza-os-sales-automation-processing-bot,,,,
iza-os-sales-automation-reporting-bot,,,,
iza-os-sales-automation-security-bot,,,,
iza-os-sales-automation-synthesis-bot,,,,
iza-os-sales-core,,,,
iza-os-security,,,,
iza-os-security-compliance-bot,,,,
iza-os-semantic-search,,,,
iza-os-smart-contracts,,,,
iza-os-specs,,,,
iza-os-speech-processing,,,,
iza-os-templates,,,,
iza-os-third-party-apis,,,,
iza-os-tree-of-life,,,,
iza-os-vector-database,,,,
iza-os-web,,,,
iza-os-web3-integration,,,,
iza-os-workflow-integration,,,,
maps,,,,
media-empire-platform,,,,
mobile-access-manager,,,,
nexus-ai-enterprise-platform,,,,
obsidian-vault,,,,
op-001-venture-automation-agency,,,,
op-002-template-marketplace,,,,
op-003-agent-services-hub,,,,
partnership-network-management,,,,
quantum-brain-sync-website,,,,
repo-template,,,,
research-lab-automation,,,,
research-processing-pipeline,,,,
revenue-multiplication-system,,,,
shared-kernels,,,,
sovereign-life,,,,
staff-001-venture-staffing,,,,
tax-company-2026,,,,
unified-dashboard-system,,,,
up-next-marketplace,,,,
venture-contract-engine,,,,
venture-studio-core,,,,
ventures,,,,
wealth-optimization-platform,,,,
design-system,,,,
design-team,,,,
legal-001-ai-boss-holdings,,,,
legal-contract-templates,,,,
bw-001-contracts,,,,
bw-001-up-next-business,,,,
bw-001-up-next-code,,,,
bw-001-up-next-web,,,,
bw-007-lash-kits---tools,,,,
consciousness-deployment-system,,,,
consult-001-venture-consulting,,,,
consulting-services-automation,,,,
ec-003-hella-scars,,,,
ec-004-godbody-luxuries,,,,
ec-005-nwa-products,,,,
ec-111-tve-fragrance,,,,
education-platform-system,,,,
et-003-content,,,,
et-003-platform,,,,
fh-014-cloud-kitchen,,,,
fh-023-bakery---pastry-shop,,,,
fin-033-legal-toolkit-ai,,,,
ft-001-api-gateway,,,,
ft-001-core-ledger,,,,
ft-001-docs,,,,
ht-004-data-api,,,,
ht-004-firmware,,,,
ht-004-mobile-app,,,,
mcp-integration-hub,,,,
tech-ventures-portfolio,,,,
