repo_owner_name,repo_name,is_private,description,language,stars,ventures_using,venture_ids,venture_names,status
Worldwidebro/iza-os-project-management-processing-bot,iza-os-project-management-processing-bot,True,🤖 Project Management Bot - Processing automation and intelligence,Python,0,0,,,unaligned
Worldwidebro/iza-os-project-management-reporting-bot,iza-os-project-management-reporting-bot,True,🤖 Project Management Bot - Reporting automation and intelligence,Python,0,0,,,unaligned
Worldwidebro/iza-os-project-management-security-bot,iza-os-project-management-security-bot,True,🤖 Project Management Bot - Security automation and intelligence,Python,0,0,,,unaligned
Worldwidebro/iza-os-project-management-synthesis-bot,iza-os-project-management-synthesis-bot,True,🤖 Project Management Bot - Synthesis automation and intelligence,Python,0,0,,,unaligned
Worldwidebro/iza-os-prompt-engineering,iza-os-prompt-engineering,True,💬 Prompt Engineering - LLM prompt optimization,,0,0,,,unaligned
Worldwidebro/iza-os-quality-assurance-bot,iza-os-quality-assurance-bot,True,✅ Quality Assurance Bot - Automated testing and quality control,Python,0,0,,,unaligned
Worldwidebro/iza-os-rag-system,iza-os-rag-system,True,📚 RAG System - Retrieval augmented generation,Python,0,0,,,unaligned
Worldwidebro/iza-os-recommendation-engine,iza-os-recommendation-engine,True,🎯 Recommendation Engine - AI recommendations,,0,0,,,unaligned
Worldwidebro/iza-os-revenue,iza-os-revenue,True,IZA OS: Revenue tracking and optimization module,JavaScript,0,0,,,unaligned
Worldwidebro/iza-os-sales-automation-alerting-bot,iza-os-sales-automation-alerting-bot,True,🤖 Sales Automation Bot - Alerting automation and intelligence,C,0,0,,,unaligned
Worldwidebro/iza-os-sales-automation-analytics-bot,iza-os-sales-automation-analytics-bot,True,🤖 Sales Automation Bot - Analytics automation and intelligence,C,0,0,,,unaligned
Worldwidebro/iza-os-sales-automation-automation-bot,iza-os-sales-automation-automation-bot,True,🤖 Sales Automation Bot - Automation automation and intelligence,C,0,0,,,unaligned
Worldwidebro/iza-os-sales-automation-compliance-bot,iza-os-sales-automation-compliance-bot,True,🤖 Sales Automation Bot - Compliance automation and intelligence,C,0,0,,,unaligned
Worldwidebro/iza-os-sales-automation-discovery-bot,iza-os-sales-automation-discovery-bot,True,🤖 Sales Automation Bot - Discovery automation and intelligence,C,0,0,,,unaligned
Worldwidebro/iza-os-sales-automation-integration-bot,iza-os-sales-automation-integration-bot,True,🤖 Sales Automation Bot - Integration automation and intelligence,C,0,0,,,unaligned
Worldwidebro/iza-os-sales-automation-intelligence-bot,iza-os-sales-automation-intelligence-bot,True,🤖 Sales Automation Bot - Intelligence automation and intelligence,C,0,0,,,unaligned
Worldwidebro/iza-os-sales-automation-management-bot,iza-os-sales-automation-management-bot,True,🤖 Sales Automation Bot - Management automation and intelligence,C,0,0,,,unaligned
Worldwidebro/iza-os-sales-automation-monitoring-bot,iza-os-sales-automation-monitoring-bot,True,🤖 Sales Automation Bot - Monitoring automation and intelligence,C,0,0,,,unaligned
Worldwidebro/iza-os-sales-automation-optimization-bot,iza-os-sales-automation-optimization-bot,True,🤖 Sales Automation Bot - Optimization automation and intelligence,C,0,0,,,unaligned
Worldwidebro/iza-os-sales-automation-orchestration-bot,iza-os-sales-automation-orchestration-bot,True,🤖 Sales Automation Bot - Orchestration automation and intelligence,C,0,0,,,unaligned
Worldwidebro/iza-os-sales-automation-processing-bot,iza-os-sales-automation-processing-bot,True,🤖 Sales Automation Bot - Processing automation and intelligence,C,0,0,,,unaligned
Worldwidebro/iza-os-sales-automation-reporting-bot,iza-os-sales-automation-reporting-bot,True,🤖 Sales Automation Bot - Reporting automation and intelligence,C,0,0,,,unaligned
Worldwidebro/iza-os-sales-automation-security-bot,iza-os-sales-automation-security-bot,True,🤖 Sales Automation Bot - Security automation and intelligence,C,0,0,,,unaligned
Worldwidebro/iza-os-sales-automation-synthesis-bot,iza-os-sales-automation-synthesis-bot,True,🤖 Sales Automation Bot - Synthesis automation and intelligence,C,0,0,,,unaligned
Worldwidebro/iza-os-sales-core,iza-os-sales-core,True,"💰 Unified Sales Platform - Pipeline, CRM, Automation, Performance, Revenue Optimization",,0,0,,,unaligned
Worldwidebro/iza-os-security,iza-os-security,True,IZA OS: iza-os-security,Python,0,0,,,unaligned
Worldwidebro/iza-os-security-compliance-bot,iza-os-security-compliance-bot,True,🛡️ Security Compliance Bot - Automated security compliance monitoring,Python,0,0,,,unaligned
Worldwidebro/iza-os-semantic-search,iza-os-semantic-search,True,🔍 Semantic Search - AI-powered search,,0,0,,,unaligned
Worldwidebro/iza-os-smart-contracts,iza-os-smart-contracts,True,Smart contracts platform for billionaire consciousness empire,Python,0,0,,,unaligned
Worldwidebro/iza-os-specs,iza-os-specs,True,Enhanced AI Orchestrator - The operating system for an autonomous venture studio,Python,0,0,,,unaligned
Worldwidebro/iza-os-speech-processing,iza-os-speech-processing,True,🎤 Speech Processing - Audio analysis and synthesis,,0,0,,,unaligned
Worldwidebro/iza-os-templates,iza-os-templates,True,IZA OS: iza-os-templates,Python,0,0,,,unaligned
Worldwidebro/iza-os-tree-of-life,iza-os-tree-of-life,True,"Iza OS scaffold — the source of truth for all machines, MCP servers, agents, ventures, and skills",Python,0,0,,,unaligned
Worldwidebro/iza-os-web,iza-os-web,True,IZA OS: iza-os-web,Python,0,0,,,unaligned
Worldwidebro/iza-os-web3-integration,iza-os-web3-integration,True,Web3 integration platform for billionaire consciousness empire,Python,0,0,,,unaligned
Worldwidebro/iza-os-workflow-integration,iza-os-workflow-integration,True,Workflow integration platform for billionaire consciousness empire,Python,0,0,,,unaligned
Worldwidebro/legal-001-ai-boss-holdings,legal-001-ai-boss-holdings,True,Civilization OS: Parent holding company (AI Boss Holdings LLC) - Owns all 749 ventures,,0,0,,,unaligned
Worldwidebro/legal-contract-templates,legal-contract-templates,True,Universal contract templates for all Civilization OS ventures (749+ businesses),,0,0,,,unaligned
Worldwidebro/maps,maps,True,"Ecosystem mapping, cartography system, licensing, and capital management",Python,0,0,,,unaligned
Worldwidebro/mcp-integration-hub,mcp-integration-hub,True,Model Context Protocol servers & integration system,Python,0,0,,,unaligned
Worldwidebro/media-empire-platform,media-empire-platform,True,Media and content creation platform for billionaire consciousness empire,Python,0,0,,,unaligned
Worldwidebro/mobile-access-manager,mobile-access-manager,True,Complete mobile optimization system for autonomous venture studio,Python,0,0,,,unaligned
Worldwidebro/nexus-ai-enterprise-platform,nexus-ai-enterprise-platform,True,"Production-ready enterprise AI platform integrating ROMA hierarchical agents, Dria distributed netwo",Python,0,0,,,unaligned
Worldwidebro/obsidian-vault,obsidian-vault,True,"Knowledge base with venture memory, graphs, and documentation",Python,0,0,,,unaligned
Worldwidebro/op-001-venture-automation-agency,op-001-venture-automation-agency,True,,Python,0,0,,,unaligned
Worldwidebro/op-002-template-marketplace,op-002-template-marketplace,True,,Python,0,0,,,unaligned
Worldwidebro/op-003-agent-services-hub,op-003-agent-services-hub,True,,Python,0,0,,,unaligned
Worldwidebro/partnership-network-management,partnership-network-management,True,Strategic partnerships management for billionaire consciousness empire,Python,0,0,,,unaligned
Worldwidebro/pitch-kit,pitch-kit,False,Interactive Demo & Presentation System — Story + Interaction + Live Product + Visual Proof,TypeScript,0,0,,,unaligned
Worldwidebro/quantum-brain-sync-website,quantum-brain-sync-website,True,Professional website for Quantum Brain Sync - AI research automation package,Python,0,0,,,unaligned
Worldwidebro/real-estate-empire,real-estate-empire,True,Real estate operations platform for billionaire consciousness empire,Python,0,0,,,unaligned
Worldwidebro/repo-template,repo-template,True,,,0,0,,,unaligned
Worldwidebro/research-lab-automation,research-lab-automation,True,Research and development automation for billionaire consciousness empire,Python,0,0,,,unaligned
Worldwidebro/research-processing-pipeline,research-processing-pipeline,True,Advanced research analysis & knowledge management system,Python,0,0,,,unaligned
Worldwidebro/Resume,Resume,True,Personal resume,Python,0,0,,,unaligned
Worldwidebro/revenue-multiplication-system,revenue-multiplication-system,True,Revenue optimization system for billionaire consciousness empire,Python,0,0,,,unaligned
Worldwidebro/shared-kernels,shared-kernels,True,"Civilization OS shared modules — intake forms, Stripe, auth, Supabase schema, dispatch logic. Every ",,0,0,,,unaligned
Worldwidebro/sovereign-life,sovereign-life,True,Sovereign Life - Complete system organization and agentic ecosystem,Python,0,0,,,unaligned
Worldwidebro/tax-company-2026,tax-company-2026,True,Civilization OS Venture: Tax preparation service,HTML,0,0,,,unaligned
Worldwidebro/the-office,the-office,True,,TypeScript,0,0,,,unaligned
Worldwidebro/unified-dashboard-system,unified-dashboard-system,True,Complete dashboard & monitoring system for autonomous venture studio,Python,0,0,,,unaligned
Worldwidebro/up-next-marketplace,up-next-marketplace,True,ARCHIVED → merged into bw-001-up-next-code,,0,0,,,unaligned
Worldwidebro/venture-contract-engine,venture-contract-engine,True,Auto-generate complete contract packages for any Civilization OS venture,Python,0,0,,,unaligned
Worldwidebro/venture-factory-core,venture-factory-core,True,"Corporate architecture, automation scripts, and venture templates",TypeScript,0,0,,,unaligned
Worldwidebro/venture-hub,venture-hub,True,IZA OS Venture Hub - Central command for 687 ventures across 22 sectors,TypeScript,0,0,,,unaligned
Worldwidebro/venture-pipeline,venture-pipeline,True,Active venture pipeline management with ACTIVE/PIPELINE/EXITED tracking,Python,0,0,,,unaligned
Worldwidebro/venture-studio-core,venture-studio-core,True,Venture creation platform for billionaire consciousness empire,Python,0,0,,,unaligned
Worldwidebro/ventures,ventures,True,Sector-organized venture database with 800+ ventures across 22 sectors,Python,0,0,,,unaligned
Worldwidebro/wealth-optimization-platform,wealth-optimization-platform,True,Wealth management platform for billionaire consciousness empire,Python,0,0,,,unaligned
Worldwidebro/Worldwidebro,Worldwidebro,False,Antwuan Johns — @Worldwidebro profile,,0,0,,,unaligned
Worldwidebro/worldwidebro-holdings,worldwidebro-holdings,True,Holding company structure for billionaire consciousness empire,Python,0,0,,,unaligned
Worldwidebro/xyops-integration,xyops-integration,True,xyOps integration for Civilization OS - Automated venture deployment and monitoring for 749+ busines,Shell,0,0,,,unaligned
Worldwidebro/_master-governance,_master-governance,True,"Civilization OS — Chairman's Handbook, master CLAUDE.md, agent architecture, shared governance for a",,0,0,,,unaligned
